"","subj","word","rt","acc","wordLength","realpseudo","visit_age"
"30501",82,"nap",4.91647,1,3,"real","12.92"
"30502",82,"strarms",0.839425,1,7,"pseudo","12.92"
"30503",82,"man",0.55044,1,3,"real","12.92"
"30504",82,"once",0.637165,1,4,"real","12.92"
"30505",82,"impoverish",0.652845,1,10,"real","12.92"
"30506",82,"idthepiates",0.654995,1,11,"pseudo","12.92"
"30507",82,"hitter",1.099115,0,6,"pseudo","12.92"
"30508",82,"ggnoi",0.504295,1,5,"pseudo","12.92"
"30509",82,"stop",0.560975,1,4,"real","12.92"
"30510",82,"stamp",0.608025,1,5,"real","12.92"
"30511",82,"cok",0.68184,1,3,"pseudo","12.92"
"30512",82,"river",0.460405,1,5,"real","12.92"
"30513",82,"ancrusinishness",1.332545,1,15,"pseudo","12.92"
"30514",82,"immiterise",0.732455,1,10,"pseudo","12.92"
"30515",82,"see",0.457345,0,3,"real","12.92"
"30516",82,"hom",0.524265,1,3,"pseudo","12.92"
"30517",82,"going",0.43266,1,5,"real","12.92"
"30518",82,"ston",0.517225,1,4,"pseudo","12.92"
"30519",82,"collosks",0.608185,1,8,"pseudo","12.92"
"30520",82,"fite",0.769305,1,4,"pseudo","12.92"
"30521",82,"waves",0.665995,1,5,"real","12.92"
"30522",82,"roder",0.616305,1,5,"pseudo","12.92"
"30523",82,"and",0.681015,1,3,"real","12.92"
"30524",82,"we",0.660595,1,2,"real","12.92"
"30525",82,"nop",0.63482,1,3,"pseudo","12.92"
"30526",82,"bawed",0.893115,1,5,"pseudo","12.92"
"30527",82,"molk",0.587875,1,4,"pseudo","12.92"
"30528",82,"arm",0.539415,1,3,"real","12.92"
"30529",82,"stass",0.604215,1,5,"pseudo","12.92"
"30530",82,"stail",0.65857,1,5,"pseudo","12.92"
"30531",82,"vosery",0.515295,1,6,"pseudo","12.92"
"30532",82,"stain",0.64174,1,5,"real","12.92"
"30533",82,"contain",1.041625,1,7,"real","12.92"
"30534",82,"kind",0.96959,1,4,"real","12.92"
"30535",82,"wared",0.59923,1,5,"pseudo","12.92"
"30536",82,"distance",0.681215,1,8,"real","12.92"
"30537",82,"jixel",0.63841,1,5,"pseudo","12.92"
"30538",82,"lant",0.65032,1,4,"pseudo","12.92"
"30539",82,"ees",0.629505,1,3,"pseudo","12.92"
"30540",82,"han",0.58326,1,3,"pseudo","12.92"
"30541",82,"wass",2.669315,1,4,"pseudo","12.92"
"30542",82,"library",0.699955,1,7,"real","12.92"
"30543",82,"milk",1.88245,0,4,"real","12.92"
"30544",82,"left",2.91957,1,4,"real","12.92"
"30545",82,"doubtful",0.685035,1,8,"real","12.92"
"30546",82,"answer",0.723815,1,6,"real","12.92"
"30547",82,"down",0.5929,1,4,"real","12.92"
"30548",82,"swane",0.510065,1,5,"pseudo","12.92"
