"","wordLength"
"1",8
"2",4
"3",8
"4",11
"5",5
"6",4
"7",7
"8",7
"9",12
"10",2
"11",7
"12",4
"13",7
"14",6
"15",5
"16",7
"17",6
"18",7
"19",10
"20",8
"21",15
"22",4
"23",8
"24",3
"25",5
"26",8
"27",4
"28",3
"29",4
"30",5
"31",4
"32",4
"33",5
"34",4
"35",3
"36",6
"37",5
"38",8
"39",6
"40",4
"41",3
"42",8
"43",3
"44",4
"45",3
"46",4
"47",5
"48",5
"49",5
"50",8
"51",5
"52",5
"53",3
"54",5
"55",7
"56",3
"57",5
"58",4
"59",3
"60",7
"61",7
"62",6
"63",7
"64",6
"65",2
"66",3
"67",7
"68",3
"69",5
"70",6
"71",2
"72",4
"73",4
"74",5
"75",3
"76",4
"77",4
"78",3
"79",15
"80",3
"81",6
"82",4
"83",10
"84",4
"85",5
"86",7
"87",5
"88",4
"89",3
"90",8
"91",2
"92",4
"93",4
"94",7
"95",4
"96",3
"97",5
"98",8
"99",4
"100",7
"101",6
"102",5
"103",4
"104",5
"105",11
"106",5
"107",7
"108",7
"109",5
"110",4
"111",3
"112",4
"113",5
"114",4
"115",4
"116",7
"117",4
"118",6
"119",5
"120",3
"121",7
"122",4
"123",4
"124",7
"125",3
"126",7
"127",6
"128",3
"129",5
"130",5
"131",7
"132",6
"133",6
"134",3
"135",4
"136",4
"137",5
"138",3
"139",4
"140",4
"141",6
"142",5
"143",8
"144",5
"145",6
"146",13
"147",3
"148",7
"149",5
"150",7
"151",2
"152",2
"153",10
"154",4
"155",7
"156",6
"157",7
"158",4
"159",6
"160",3
"161",10
"162",6
"163",3
"164",6
"165",6
"166",3
"167",5
"168",5
"169",2
"170",4
"171",7
"172",4
"173",4
"174",5
"175",4
"176",6
"177",5
"178",2
"179",4
"180",7
"181",8
"182",7
"183",6
"184",11
"185",7
"186",6
"187",7
"188",6
"189",4
"190",2
"191",4
"192",13
"193",3
"194",3
"195",4
"196",2
"197",4
"198",6
"199",4
"200",6
"201",5
"202",8
"203",6
"204",8
"205",4
"206",4
"207",4
"208",3
"209",10
"210",4
"211",7
"212",7
"213",2
"214",5
"215",10
"216",8
"217",4
"218",4
"219",3
"220",10
"221",6
"222",5
"223",5
"224",8
"225",5
"226",4
"227",8
"228",10
"229",3
"230",3
"231",11
"232",5
"233",4
"234",2
"235",10
"236",6
"237",6
"238",6
"239",3
"240",3
"241",4
"242",4
"243",6
"244",6
"245",4
"246",3
"247",10
"248",5
"249",4
"250",5
"251",6
"252",6
"253",4
"254",4
"255",5
"256",6
"257",4
"258",8
"259",6
"260",10
"261",7
"262",5
"263",7
"264",11
"265",4
"266",2
"267",6
"268",5
"269",5
"270",4
"271",6
"272",6
"273",6
"274",5
"275",9
"276",3
"277",6
"278",9
"279",2
"280",2
"281",5
"282",7
"283",3
"284",4
"285",3
"286",2
"287",7
"288",9
"289",10
"290",4
"291",11
"292",7
"293",6
"294",4
"295",4
"296",11
"297",7
"298",9
"299",4
"300",6
"301",6
"302",4
"303",4
"304",4
"305",5
"306",4
"307",3
"308",2
"309",2
"310",3
"311",2
"312",5
"313",5
"314",5
"315",5
"316",2
"317",6
"318",5
"319",2
"320",6
"321",6
"322",2
"323",2
"324",8
"325",8
"326",3
"327",2
"328",5
"329",5
"330",7
"331",4
"332",4
"333",5
"334",4
"335",4
"336",8
"337",7
"338",3
"339",5
"340",5
"341",4
"342",8
"343",3
"344",6
"345",2
"346",5
"347",6
"348",5
"349",9
"350",2
"351",4
"352",2
"353",6
"354",4
"355",8
"356",4
"357",4
"358",7
"359",5
"360",4
"361",4
"362",8
"363",7
"364",6
"365",5
"366",8
"367",5
"368",5
"369",5
"370",3
"371",8
"372",7
"373",4
"374",8
"375",6
"376",8
"377",2
"378",5
"379",9
"380",5
"381",5
"382",4
"383",4
"384",6
"385",4
"386",6
"387",6
"388",4
"389",4
"390",5
"391",5
"392",4
"393",4
"394",4
"395",6
"396",8
"397",6
"398",2
"399",4
"400",8
"401",3
"402",2
"403",5
"404",7
"405",3
"406",5
"407",7
"408",3
"409",3
"410",4
"411",5
"412",4
"413",4
"414",4
"415",3
"416",4
"417",6
"418",4
"419",3
"420",3
"421",7
"422",4
"423",5
"424",6
"425",4
"426",5
"427",2
"428",4
"429",10
"430",5
"431",5
"432",2
"433",8
"434",4
"435",5
"436",6
"437",5
"438",4
"439",7
"440",4
"441",3
"442",4
"443",4
"444",4
"445",4
"446",4
"447",4
"448",4
"449",8
"450",6
"451",7
"452",4
"453",5
"454",5
"455",2
"456",6
"457",6
"458",5
"459",7
"460",5
"461",8
"462",4
"463",6
"464",6
"465",9
"466",6
"467",4
"468",9
"469",10
"470",2
"471",6
"472",4
"473",6
"474",7
"475",6
"476",2
"477",2
"478",4
"479",6
"480",4
"481",4
"482",2
"483",9
"484",4
"485",6
"486",5
"487",6
"488",9
"489",3
"490",6
"491",6
