"","rt"
"1",1.064255
"2",0.645585
"3",0.771645
"4",1.052425
"5",1.082595
"6",0.846135
"7",0.892405
"8",0.94449
"9",1.362765
"10",1.636195
"11",1.331135
"12",1.350055
"13",1.00768
"14",1.794475
"15",0.867315
"16",0.760055
"17",2.585545
"18",0.930095
"19",1.067625
"20",1.162155
"21",5.489865
"22",1.105825
"23",1.28547
"24",1.82551
"25",2.77695
"26",0.8184
"27",1.64148
"28",3.013325
"29",1.06344
"30",1.22895
"31",1.73223
"32",1.301915
"33",2.43401
"34",1.249165
"35",1.7324
"36",1.03769
"37",2.866285
"38",1.809785
"39",0.833825
"40",2.05578
"41",0.92551
"42",1.296325
"43",0.956825
"44",1.59898
"45",1.094165
"46",1.49924
"47",1.630255
"48",1.377065
"49",1.215415
"50",0.920795
"51",1.073905
"52",1.182785
"53",0.86292
"54",0.749375
"55",0.60556
"56",2.18931
"57",1.077795
"58",0.7069
"59",1.71033
"60",1.22615
"61",2.57721
"62",1.478455
"63",1.308225
"64",1.31951
"65",0.890715
"66",1.17457
"67",0.927315
"68",1.050605
"69",1.03988
"70",1.23019
"71",0.75694
"72",1.59707
"73",1.73463
"74",5.286785
"75",1.23492
"76",1.14677
"77",0.988425
"78",0.94089
"79",1.22341
"80",1.05451
"81",2.980155
"82",1.16514
"83",1.102395
"84",0.922135
"85",1.37312
"86",1.02984
"87",8.482735
"88",1.55309
"89",1.130545
"90",2.54974
"91",0.808135
"92",1.847295
"93",1.973855
"94",1.998855
"95",2.471475
"96",2.45274
"97",2.3947
"98",0.843545
"99",1.20174
"100",9.711335
"101",2.184455
"102",1.847655
"103",0.756635
"104",1.624145
"105",1.3336
"106",1.385345
"107",0.751975
"108",0.91426
"109",0.25343
"110",4.433955
"111",2.4509
"112",1.36869
"113",1.21792
"114",1.11898
"115",1.581515
"116",1.051165
"117",2.604645
"118",1.83668
"119",2.308685
"120",1.52886
"121",1.00514
"122",1.19637
"123",1.14026
"124",5.72785
"125",0.963715
"126",0.954955
"127",2.124635
"128",1.75193
"129",6.86633
"130",0.904925
"131",0.99661
"132",0.804485
"133",1.82767
"134",0.94719
"135",1.373565
"136",20.76598
"137",0.83658
"138",0.65855
"139",1.049125
"140",0.813675
"141",1.06067
"142",1.122705
"143",1.341595
"144",1.63991
"145",4.855005
"146",0.8614
"147",1.018935
"148",1.513745
"149",2.426415
"150",2.99372
"151",1.571335
"152",1.18059
"153",0.997225
"154",11.63911
"155",1.61624
"156",1.19952
"157",0.886975
"158",1.01088
"159",1.19469
"160",0.746805
"161",0.94916
"162",10.276035
"163",3.107805
"164",0.927825
"165",2.218405
"166",1.21826
"167",1.328695
"168",0.771985
"169",1.852775
"170",1.154935
"171",1.204775
"172",15.986955
"173",0.959335
"174",0.880825
"175",1.26965
"176",1.70665
"177",1.59872
"178",2.91836
"179",1.722075
"180",2.3014
"181",3.305375
"182",1.405165
"183",0.901275
"184",17.055945
"185",1.721925
"186",0.84515
"187",1.763385
"188",1.221205
"189",0.764195
"190",1.38966
"191",0.861705
"192",1.475475
"193",1.24868
"194",1.006275
"195",1.221515
"196",1.172105
"197",1.397565
"198",2.075035
"199",2.24017
"200",1.47087
"201",9.39231
"202",1.026885
"203",7.07258
"204",12.848835
"205",0.233575
"206",1.039985
"207",1.32896
"208",1.77986
"209",1.16585
"210",1.838155
"211",1.78065
"212",0.782665
"213",0.77382
"214",1.24658
"215",3.511635
"216",1.2527
"217",0.88296
"218",1.02288
"219",0.9333
"220",1.01574
"221",1.438365
"222",1.037465
"223",0.899445
"224",3.151025
"225",0.072645
"226",1.077795
"227",1.27492
"228",1.023755
"229",2.462625
"230",1.308705
"231",0.90035
"232",1.760715
"233",6.41949
"234",1.09175
"235",2.71123
"236",0.956255
"237",1.70992
"238",2.96985
"239",0.947235
"240",2.821985
"241",4.005325
"242",0.89056
"243",8.31193
"244",1.38249
"245",1.149795
"246",1.247365
"247",3.046195
"248",0.94073
"249",2.087075
"250",2.32373
"251",1.69045
"252",0.766785
"253",2.295715
"254",1.128115
"255",1.26698
"256",1.327895
"257",1.026735
"258",0.753585
"259",1.65142
"260",1.281045
"261",2.04599
"262",2.452645
"263",3.11515
"264",1.53384
"265",1.94491
"266",0.971315
"267",16.618895
"268",0.95063
"269",2.33645
"270",2.563085
"271",1.16536
"272",0.97399
"273",0.966905
"274",1.599755
"275",4.343635
"276",1.18694
"277",3.075665
"278",3.249235
"279",1.399605
"280",1.05523
"281",3.998235
"282",1.84258
"283",1.233135
"284",0.96728
"285",0.936205
"286",2.057985
"287",2.256615
"288",5.375105
"289",2.13695
"290",0.996
"291",1.012015
"292",1.22804
"293",3.62662
"294",2.690775
"295",0.85536
"296",4.162065
"297",2.212815
"298",0.86854
"299",0.953305
"300",1.90708
"301",0.996625
"302",1.083695
"303",0.94527
"304",0.747515
"305",1.004705
"306",0.901415
"307",4.753985
"308",1.469005
"309",1.12323
"310",0.748615
"311",1.20039
"312",1.12597
"313",1.05032
"314",0.96781
"315",1.51278
"316",0.89031
"317",1.192555
"318",7.662245
"319",0.982445
"320",1.126135
"321",2.24089
"322",1.31186
"323",1.259685
"324",1.03996
"325",0.711125
"326",1.146765
"327",1.052905
"328",0.882545
"329",1.48642
"330",0.85098
"331",0.904515
"332",1.47594
"333",2.697055
"334",4.99525
"335",0.93349
"336",1.82314
"337",1.02212
"338",1.29286
"339",1.425305
"340",0.99239
"341",3.44082
"342",1.095705
"343",1.01197
"344",0.963635
"345",1.30894
"346",0.74461
"347",1.002375
"348",1.73038
"349",1.16524
"350",0.734235
"351",18.915075
"352",0.98693
"353",5.45177
"354",0.706675
"355",1.238085
"356",1.13251
"357",0.934375
"358",1.25678
"359",1.942555
"360",6.473515
"361",0.872075
"362",1.26902
"363",4.894525
"364",3.25248
"365",1.250505
"366",1.584125
"367",1.72062
"368",4.076345
"369",1.769405
"370",1.635055
"371",1.561575
"372",0.947445
"373",1.92547
"374",1.50467
"375",1.14931
"376",1.57847
"377",6.804065
"378",1.23767
"379",1.35574
"380",2.085535
"381",1.129895
"382",1.19687
"383",0.97337
"384",1.974225
"385",1.591305
"386",11.620525
"387",1.2393
"388",0.766015
"389",1.310275
"390",1.02611
"391",1.49712
"392",2.91764
"393",0.936765
"394",1.546705
"395",1.109665
"396",1.44105
"397",2.44876
"398",12.275445
"399",1.43551
"400",1.81789
"401",1.51754
"402",0.965655
"403",1.5201
"404",0.961695
"405",0.81914
"406",0.786675
"407",2.20259
"408",0.921275
"409",1.206485
"410",2.108675
"411",1.633175
"412",4.251865
"413",1.026495
"414",1.552885
"415",0.788165
"416",1.02834
"417",1.058325
"418",3.046975
"419",0.807005
"420",1.127955
"421",1.0831
"422",1.526775
"423",1.09006
"424",0.90238
"425",1.305885
"426",1.03734
"427",0.971665
"428",1.32128
"429",6.621405
"430",1.261765
"431",1.0033
"432",0.85081
"433",1.440495
"434",2.415115
"435",3.75044
"436",0.824845
"437",1.815945
"438",2.159205
"439",16.57908
"440",1.97574
"441",1.000845
"442",1.432485
"443",4.036275
"444",1.659245
"445",1.313025
"446",0.964725
"447",1.022135
"448",0.76567
"449",0.821105
"450",5.141035
"451",1.31641
"452",0.759265
"453",1.00847
"454",0.840155
"455",1.366695
"456",0.96728
"457",0.696215
"458",1.68818
"459",0.74936
"460",0.766505
"461",1.567215
"462",0.752225
"463",1.065765
"464",0.71862
"465",0.985285
"466",0.97686
"467",1.042285
"468",0.84058
"469",1.43096
"470",2.469785
"471",1.28677
"472",0.866865
"473",1.272125
"474",2.245015
"475",2.85142
"476",0.889985
"477",0.910085
"478",0.69744
"479",0.90099
"480",1.745075
"481",0.80368
"482",1.091005
"483",0.86316
"484",3.460495
"485",5.56005
"486",1.05902
"487",0.840595
"488",1.478715
"489",1.55584
"490",0.845515
"491",0.795575
"492",1.08365
"493",1.08809
"494",0.956185
"495",1.421845
"496",1.780835
"497",1.874925
"498",0.744045
"499",1.17842
"500",1.25061
"501",14.459945
"502",8.75451
"503",13.189
"504",10.23971
"505",24.629115
"506",10.024795
"507",27.945105
"508",17.42373
"509",7.970535
"510",4.6859
"511",4.718875
"512",5.597475
"513",4.888
"514",4.154895
"515",4.82939
"516",3.254655
"517",3.92771
"518",11.43499
"519",5.000165
"520",3.935175
"521",3.00105
"522",3.32193
"523",5.034775
"524",4.76398
"525",4.084975
"526",5.03843
"527",4.820425
"528",3.53539
"529",11.77212
"530",2.41497
"531",1.668845
"532",2.06467
"533",1.234455
"534",1.830935
"535",3.43606
"536",3.157145
"537",2.39903
"538",3.768265
"539",1.63585
"540",2.06796
"541",1.54365
"542",1.71667
"543",1.401865
"544",2.635465
"545",1.855695
"546",2.76405
"547",32.51266
"548",3.31298
"549",3.115905
"550",29.297935
"551",12.02604
"552",5.269795
"553",25.87847
"554",5.686815
"555",6.63517
"556",86.135145
"557",5.23738
"558",22.93053
"559",4.819275
"560",4.49806
"561",2.69782
"562",2.132185
"563",1.784035
"564",1.883935
"565",1.29604
"566",1.49762
"567",0.88691
"568",1.4777
"569",2.713355
"570",1.582495
"571",2.95457
"572",16.6236
"573",3.05185
"574",2.717365
"575",1.233645
"576",1.60459
"577",1.76568
"578",1.151425
"579",2.90173
"580",1.66483
"581",1.01547
"582",1.901165
"583",2.019995
"584",2.78965
"585",1.437215
"586",41.494865
"587",50.571765
"588",1.732945
"589",1.46864
"590",1.396805
"591",1.983895
"592",3.90261
"593",2.61448
"594",1.871325
"595",39.869105
"596",3.9967
"597",3.16782
"598",14.703845
"599",8.23775
"600",0.181595
"601",14.738295
"602",42.312785
"603",26.74872
"604",13.005565
"605",10.920895
"606",15.223315
"607",8.203655
"608",8.69922
"609",6.03775
"610",14.0747
"611",3.468535
"612",7.003045
"613",6.936605
"614",2.049245
"615",7.73607
"616",1.284545
"617",4.418835
"618",2.59923
"619",2.618875
"620",2.931035
"621",1.355525
"622",1.417425
"623",3.051065
"624",1.911025
"625",2.237095
"626",4.916845
"627",1.668415
"628",2.091995
"629",3.268285
"630",1.51829
"631",2.630355
"632",1.95334
"633",2.61742
"634",2.951125
"635",2.31905
"636",0.916735
"637",1.448085
"638",2.091605
"639",2.181855
"640",1.284885
"641",1.798675
"642",1.02205
"643",1.44982
"644",1.151345
"645",7.03293
"646",4.381815
"647",3.1851
"648",2.5307
"649",11.135395
"650",2.4516
"651",7.0322
"652",2.09022
"653",1.405625
"654",0.7511
"655",1.03531
"656",2.281605
"657",2.66771
"658",3.628805
"659",2.031205
"660",1.3473
"661",1.120815
"662",1.62969
"663",59.775675
"664",2.70495
"665",2.119995
"666",15.153445
"667",4.017045
"668",3.00196
"669",3.07171
"670",2.90381
"671",1.85837
"672",3.052165
"673",4.536665
"674",1.202025
"675",47.253645
"676",12.639585
"677",26.727505
"678",3.870575
"679",3.18477
"680",2.333645
"681",2.00483
"682",2.033845
"683",2.10035
"684",2.41882
"685",1.46638
"686",1.235825
"687",2.019745
"688",1.4851
"689",4.451545
"690",1.9185
"691",1.434565
"692",1.850845
"693",2.901655
"694",1.817125
"695",1.587195
"696",1.48139
"697",1.231945
"698",2.916755
"699",3.002195
"700",2.267875
"701",3.110045
"702",2.834525
"703",1.94832
"704",2.656025
"705",1.296115
"706",2.2464
"707",1.956775
"708",6.078
"709",3.201615
"710",2.14643
"711",1.89729
"712",1.122435
"713",1.983835
"714",2.0332
"715",3.002885
"716",1.969525
"717",1.43234
"718",1.485885
"719",0.78588
"720",1.087465
"721",2.28432
"722",2.234985
"723",1.45476
"724",1.300875
"725",1.467035
"726",2.118325
"727",1.515695
"728",1.91609
"729",2.94667
"730",2.300455
"731",2.18495
"732",3.00205
"733",1.70316
"734",1.93818
"735",2.561035
"736",2.03394
"737",1.59534
"738",1.534105
"739",0.89656
"740",0.953605
"741",1.11404
"742",0.852325
"743",0.838855
"744",0.69934
"745",2.08158
"746",1.861875
"747",5.269775
"748",1.05189
"749",5.151985
"750",4.978825
"751",8.50401
"752",5.38817
"753",1.20032
"754",4.00304
"755",0.73045
"756",2.2994
"757",2.96112
"758",1.54829
"759",2.13445
"760",3.603215
"761",2.654505
"762",3.138115
"763",2.536225
"764",2.219785
"765",1.498985
"766",4.46813
"767",1.59486
"768",20.25914
"769",1.93383
"770",3.527805
"771",2.13352
"772",2.08496
"773",2.4014
"774",1.66676
"775",1.274465
"776",1.81752
"777",2.104345
"778",1.100245
"779",1.50257
"780",1.5401
"781",2.317055
"782",1.0176
"783",1.9315
"784",1.95213
"785",18.707845
"786",2.616625
"787",1.46367
"788",3.85422
"789",2.517575
"790",1.73496
"791",1.05081
"792",1.128715
"793",5.709035
"794",3.43662
"795",7.702245
"796",3.062105
"797",7.118355
"798",4.13447
"799",3.252245
"800",1.25036
"801",37.77191
"802",1.473115
"803",2.0825
"804",1.28288
"805",1.442295
"806",2.20047
"807",2.48626
"808",2.400235
"809",1.18598
"810",3.68695
"811",1.0349
"812",4.071395
"813",2.716695
"814",5.45266
"815",2.44526
"816",3.038505
"817",5.713315
"818",5.968655
"819",13.482
"820",2.94703
"821",1.367035
"822",128.28348
"823",2.01559
"824",0.901785
"825",0.83167
"826",13.459505
"827",6.485985
"828",4.06434
"829",4.257335
"830",1.702305
"831",1.38172
"832",1.012065
"833",3.06903
"834",1.31012
"835",4.102505
"836",1.35079
"837",1.519115
"838",0.850585
"839",1.25147
"840",1.03685
"841",1.01823
"842",0.284505
"843",0.549955
"844",0.83208
"845",1.350525
"846",1.28874
"847",2.597625
"848",1.383955
"849",1.302275
"850",1.16683
"851",8.85643
"852",1.812725
"853",1.015985
"854",14.90605
"855",12.124435
"856",0.10642
"857",1.15403
"858",0.70403
"859",2.05116
"860",0.98812
"861",1.25509
"862",1.85157
"863",1.9203
"864",4.286145
"865",3.89454
"866",0.434395
"867",2.23579
"868",1.434865
"869",1.283775
"870",0.418005
"871",0.10052
"872",1.11714
"873",0.51931
"874",0.872085
"875",0.387155
"876",1.565915
"877",1.918555
"878",1.467915
"879",0.516355
"880",0.720845
"881",0.604125
"882",0.768595
"883",0.43124
"884",1.01923
"885",0.533585
"886",0.516965
"887",0.784285
"888",0.500755
"889",0.54967
"890",0.46701
"891",0.0848
"892",0.26846
"893",0.601595
"894",0.06643
"895",0.146305
"896",0.55078
"897",0.585395
"898",1.15237
"899",1.19717
"900",0.95348
"901",31.60074
"902",0.87699
"903",0.999725
"904",1.134065
"905",0.92292
"906",1.41867
"907",2.36559
"908",1.630115
"909",2.78055
"910",1.220555
"911",0.965735
"912",1.65286
"913",0.75575
"914",1.039455
"915",1.25216
"916",0.77214
"917",0.668005
"918",0.25347
"919",0.43422
"920",0.24927
"921",0.467345
"922",0.503585
"923",0.268935
"924",0.37095
"925",0.3333
"926",0.198575
"927",0.450135
"928",0.470845
"929",2.984795
"930",9.586225
"931",1.18504
"932",1.599585
"933",1.58422
"934",1.70501
"935",2.399365
"936",3.972565
"937",1.70409
"938",2.567565
"939",1.28382
"940",1.070695
"941",1.270595
"942",0.884175
"943",0.99626
"944",0.751555
"945",1.55203
"946",1.702855
"947",1.28743
"948",2.500595
"949",0.979405
"950",1.004105
"951",28.863155
"952",2.9016
"953",1.33535
"954",0.921405
"955",1.07333
"956",0.984295
"957",0.821655
"958",1.407355
"959",1.617915
"960",1.38745
"961",1.599625
"962",0.8525
"963",0.7466
"964",1.03421
"965",0.75083
"966",1.433255
"967",1.469075
"968",0.85039
"969",1.428525
"970",1.069645
"971",2.91778
"972",1.151055
"973",1.001115
"974",0.66831
"975",2.28445
"976",2.301695
"977",5.102555
"978",0.86636
"979",0.54953
"980",0.45271
"981",0.372685
"982",0.7031
"983",0.112635
"984",0.21277
"985",0.23508
"986",0.48517
"987",0.21696
"988",0.0318
"989",0.233475
"990",2.03857
"991",1.55377
"992",0.951525
"993",1.317305
"994",0.0502
"995",3.335995
"996",0.116015
"997",0.16682
"998",0.01429
"999",1.03302
"1000",1.063825
