"","words","a","b","g","u"
"1","play",1,-3.73903909929524,0.5,1
"2","hu",1,-3.14156116359427,0.5,1
"3","time",1,-2.96851944707172,0.5,1
"4","him",1,-2.84555595283033,0.5,1
"5","we",1,-2.77507425112573,0.5,1
"6","plays",1,-2.76722709747339,0.5,1
"7","people",1,-2.75848192424768,0.5,1
"8","ap",1,-2.74812484278922,0.5,1
"9","open",1,-2.7347470221345,0.5,1
"10","uoy",1,-2.65403136259293,0.5,1
"11","khtna",1,-2.64532458297244,0.5,1
"12","miss",1,-2.61230797937296,0.5,1
"13","et",1,-2.61033108150419,0.5,1
"14","moon",1,-2.60143925949985,0.5,1
"15","black",1,-2.5604526543267,0.5,1
"16","ypla",1,-2.52851593836581,0.5,1
"17","os",1,-2.49756646768798,0.5,1
"18","fror",1,-2.4588971832898,0.5,1
"19","look",1,-2.37678479466209,0.5,1
"20","om",1,-2.30676865158612,0.5,1
"21","left",1,-2.28637708837027,0.5,1
"22","plane",1,-2.27828340653071,0.5,1
"23","candy",1,-2.27629872489412,0.5,1
"24","become",1,-2.21360787264941,0.5,1
"25","more",1,-2.16300118415203,0.5,1
"26","fafever",1,-2.12332105059696,0.5,1
"27","library",1,-2.09089770266369,0.5,1
"28","wood",1,-2.08601635507191,0.5,1
"29","tried",1,-2.08023096236315,0.5,1
"30","ot",1,-2.06976114511501,0.5,1
"31","cok",1,-2.06663282308434,0.5,1
"32","complete",1,-2.03519328257496,0.5,1
"33","ujst",1,-2.02997720308275,0.5,1
"34","asca",1,-2.02303907783173,0.5,1
"35","from",1,-2.00597394980036,0.5,1
"36","inni",1,-1.99612879684158,0.5,1
"37","them",1,-1.98876480708275,0.5,1
"38","round",1,-1.97140350897029,0.5,1
"39","peace",1,-1.95463402205034,0.5,1
"40","sun",1,-1.94013981616452,0.5,1
"41","spu",1,-1.9359982905983,0.5,1
"42","come",1,-1.92052796104829,0.5,1
"43","orn",1,-1.90310118043796,0.5,1
"44","morning",1,-1.86860868309832,0.5,1
"45","through",1,-1.85019466089239,0.5,1
"46","tfaer",1,-1.84509430221415,0.5,1
"47","mun",1,-1.83594781293531,0.5,1
"48","daople",1,-1.83348726929539,0.5,1
"49","great",1,-1.82314424685149,0.5,1
"50","utashing",1,-1.81598071847574,0.5,1
"51","inside",1,-1.8110557402566,0.5,1
"52","sick",1,-1.80582529253861,0.5,1
"53","farmer",1,-1.80480468372911,0.5,1
"54","without",1,-1.79322546967433,0.5,1
"55","hot",1,-1.7555803401751,0.5,1
"56","will",1,-1.75481473172612,0.5,1
"57","understand",1,-1.74252610888164,0.5,1
"58","best",1,-1.73409522458819,0.5,1
"59","loms",1,-1.72890732650538,0.5,1
"60","number",1,-1.71918356755071,0.5,1
"61","chance",1,-1.71742494277392,0.5,1
"62","light",1,-1.70147005233565,0.5,1
"63","faster",1,-1.70095126882582,0.5,1
"64","yos",1,-1.68764047983034,0.5,1
"65","almost",1,-1.67572080160657,0.5,1
"66","wews",1,-1.67395887590502,0.5,1
"67","chigshen",1,-1.66512090797262,0.5,1
"68","sobsaller",1,-1.65966252000202,0.5,1
"69","ef",1,-1.65250963644885,0.5,1
"70","che",1,-1.65007073392544,0.5,1
"71","jixel",1,-1.64875492481377,0.5,1
"72","watch",1,-1.64755145388657,0.5,1
