"","words","a","b","g","u"
"1","plays",1.23904084328552,-2.5163110248816,0.5,1
"2","we",1.29084855359225,-2.443227720738,0.5,1
"3","them",1.02408451553245,-2.34115063914291,0.5,1
"4","play",2.43824102004052,-2.24453508067965,0.5,1
"5","hu",1.83901769736033,-2.1820939715169,0.5,1
"6","from",1.14550118185816,-2.1820087715892,0.5,1
"7","more",1.23622405969415,-2.1491074654419,0.5,1
"8","him",1.7873575726261,-2.10338966044445,0.5,1
"9","look",1.43935078228414,-2.09380358408958,0.5,1
"10","plane",1.36036609435112,-2.08974798853197,0.5,1
"11","hot",1.08145553163328,-2.05859111490832,0.5,1
"12","open",1.77050074780492,-2.00892133056303,0.5,1
"13","moon",1.74438464003011,-1.99247304301196,0.5,1
"14","people",1.89046467211807,-1.98291264169882,0.5,1
"15","miss",1.75407411672987,-1.96611779313014,0.5,1
"16","uoy",1.78624376905434,-1.9480679828115,0.5,1
"17","natural",1.13671491724815,-1.94320770761514,0.5,1
"18","spu",1.29726040829285,-1.93545356529859,0.5,1
"19","om",1.60578626619372,-1.91915564147853,0.5,1
"20","os",1.78390158156844,-1.90862386062733,0.5,1
"21","orn",1.31550671408649,-1.8907578291101,0.5,1
"22","alk",0.919799719232501,-1.84221226671832,0.5,1
"23","khtna",2.03135220301739,-1.82054448229789,0.5,1
"24","ap",2.30573376955548,-1.80141592878825,0.5,1
"25","rebosks",0.981186301300541,-1.79730916756529,0.5,1
"26","back",1.29847974927034,-1.79693414589551,0.5,1
"27","however",1.22508267253326,-1.79064636041458,0.5,1
"28","fror",2.01244315702296,-1.78996928279942,0.5,1
"29","waay",1.05214415001552,-1.78737199854636,0.5,1
"30","inni",1.58008239124429,-1.78461229726337,0.5,1
"31","animal",1.12705460358645,-1.78236405011475,0.5,1
"32","sun",1.54870446132019,-1.76350389030539,0.5,1
"33","time",2.62007201007954,-1.75416109124998,0.5,1
"34","become",1.89957936295209,-1.7385789895839,0.5,1
"35","into",1.06287946197251,-1.73611339774953,0.5,1
"36","morning",1.63566811646482,-1.69325412290506,0.5,1
"37","black",2.6395597591721,-1.68474269924107,0.5,1
"38","cag",1.0333133596929,-1.67869328634669,0.5,1
"39","jixel",1.41876152613321,-1.6766259682571,0.5,1
"40","give",1.46036671971441,-1.62007565286619,0.5,1
"41","left",2.32616605644094,-1.59266304457534,0.5,1
"42","cok",1.99398133947974,-1.58995165261897,0.5,1
"43","almost",1.66661315344231,-1.56853538144376,0.5,1
"44","tfaer",1.81192809840929,-1.56795624817937,0.5,1
"45","faster",1.64102899398086,-1.56717537231312,0.5,1
"46","fafever",2.14089548907519,-1.55581745215829,0.5,1
"47","et",3.06709662992197,-1.55335131613874,0.5,1
"48","ypla",3.24738933703876,-1.55149436557493,0.5,1
"49","long",1.56262002586916,-1.53734989600039,0.5,1
"50","short",0.881127196024221,-1.53489645777072,0.5,1
"51","spy",1.53307407681795,-1.53074577439806,0.5,1
"52","mun",1.87396574027947,-1.52786577623129,0.5,1
"53","brush",1.2128096984879,-1.52535634293279,0.5,1
"54","watch",1.72579017543,-1.51653946710778,0.5,1
"55","great",1.90238869427122,-1.51517551591468,0.5,1
"56","che",1.72592623272889,-1.51397571577548,0.5,1
"57","best",1.80901530369135,-1.51267443702921,0.5,1
"58","complete",2.21878897688219,-1.51101436840075,0.5,1
"59","peace",2.08551887738196,-1.51025582427058,0.5,1
"60","library",2.35122625708055,-1.50604654694543,0.5,1
"61","truck",1.21253260379863,-1.50309074661006,0.5,1
"62","asca",2.23512301867717,-1.4992371516637,0.5,1
"63","money",1.58705220651708,-1.48555448531739,0.5,1
"64","will",1.95583194725269,-1.47931373768838,0.5,1
"65","ef",1.83245025466812,-1.47770153482754,0.5,1
"66","without",1.98688330966186,-1.47513569720242,0.5,1
"67","went",0.962683106724574,-1.46446062394438,0.5,1
"68","through",2.20550851908853,-1.45140487313366,0.5,1
"69","once",1.60630923563674,-1.44678119632117,0.5,1
"70","round",2.63719643856892,-1.40883739598897,0.5,1
"71","come",2.46889620680789,-1.40591462055023,0.5,1
"72","ot",2.86144209969868,-1.38886350313434,0.5,1
"73","inside",2.37970657612557,-1.36556989068097,0.5,1
"74","candy",4.82455725301374,-1.36350688205705,0.5,1
"75","cibsus",2.08373071053443,-1.35198550552667,0.5,1
"76","tried",3.00887477140848,-1.34984911605173,0.5,1
"77","lame",1.86928767993466,-1.34848639336773,0.5,1
"78","ip",1.89298983178985,-1.34846417109006,0.5,1
"79","wood",3.19009745858347,-1.3305853478316,0.5,1
"80","understand",2.53862847969251,-1.3300288093699,0.5,1
"81","number",2.45516186173979,-1.32920370704551,0.5,1
"82","daople",2.81905620215028,-1.31318278467487,0.5,1
"83","yos",2.34893432560129,-1.31235568640678,0.5,1
"84","germantia",0.932361721641496,-1.30610919879297,0.5,1
