"","words","a","b","g","u"
"1","play",1,-3.74415461924936,0.5,1
"2","hu",1,-3.14421568290809,0.5,1
"3","time",1,-2.96991176130204,0.5,1
"4","him",1,-2.84769132216462,0.5,1
"5","we",1,-2.77655793826715,0.5,1
"6","plays",1,-2.76807330956897,0.5,1
"7","people",1,-2.76115644879928,0.5,1
"8","ap",1,-2.74980443057609,0.5,1
"9","open",1,-2.7356986587561,0.5,1
"10","uoy",1,-2.65497245487006,0.5,1
"11","khtna",1,-2.64673961768954,0.5,1
"12","miss",1,-2.61251881704563,0.5,1
"13","et",1,-2.61099737776761,0.5,1
"14","moon",1,-2.60014895175275,0.5,1
"15","black",1,-2.56371763610457,0.5,1
"16","ypla",1,-2.53080108493367,0.5,1
"17","os",1,-2.49742447335984,0.5,1
"18","fror",1,-2.45829006571719,0.5,1
"19","look",1,-2.37463865396627,0.5,1
"20","om",1,-2.30958558337315,0.5,1
"21","left",1,-2.28970531426473,0.5,1
"22","plane",1,-2.2796913752828,0.5,1
"23","candy",1,-2.27776459747201,0.5,1
"24","become",1,-2.21399426052827,0.5,1
"25","more",1,-2.16259360291725,0.5,1
"26","fafever",1,-2.12147116999699,0.5,1
"27","library",1,-2.0941305224868,0.5,1
"28","wood",1,-2.0891708910243,0.5,1
"29","tried",1,-2.07855743563655,0.5,1
"30","ot",1,-2.06940348160301,0.5,1
"31","cok",1,-2.06817512426004,0.5,1
"32","complete",1,-2.0355853654711,0.5,1
"33","ujst",1,-2.03137692956254,0.5,1
"34","asca",1,-2.02563512087991,0.5,1
"35","from",1,-2.00450890671026,0.5,1
"36","inni",1,-1.99568529365364,0.5,1
"37","them",1,-1.99000425431788,0.5,1
"38","round",1,-1.97250952402279,0.5,1
"39","peace",1,-1.95439971203376,0.5,1
"40","sun",1,-1.94019145116192,0.5,1
"41","spu",1,-1.93677383494548,0.5,1
"42","come",1,-1.92112483678068,0.5,1
"43","orn",1,-1.90151732654223,0.5,1
"44","morning",1,-1.86863986418103,0.5,1
"45","through",1,-1.85196982578467,0.5,1
