"","subj","pcor","f1PL","f2PL1PL","f2PL"
"1",44,0.492,-4.74926310383936,-4.7435809485716,-2.64958357254334
"2",87,0.498,-4.73391324934614,-4.74415955394662,-2.92104899895631
"3",52,0.518,-4.67912737103131,-4.68898018617716,-3.00337345789435
"4",58,0.522,-4.65910149630902,-4.6686100149373,-3.10099820865072
"5",95,0.522,-4.68174447848455,-4.69056881352838,-2.96839441984643
"6",60,0.53,-3.99697270077601,-4.00990313790944,-2.31418133791481
"7",109,0.544,-3.19838574594824,-3.21407468346369,-2.08113554782564
"8",62,0.56,-3.80403869159795,-3.7909732452289,-2.15286459885594
"9",92,0.56,-4.02582268204321,-4.04008644008671,-2.52363827713138
"10",113,0.562,-3.86191581724668,-3.87674313048428,-2.23833248458912
"11",72,0.586,-3.43661806427005,-3.45239011608382,-2.10312964908262
"12",36,0.592,-3.22346736219157,-3.24097458453059,-2.01628104114605
"13",73,0.602,-2.38350672760573,-2.39482530855002,-1.65434375484283
"14",104,0.61,-3.87444276969037,-3.89352511471851,-2.66860906373331
"15",118,0.618,-2.46480547364811,-2.47481358897574,-1.62018969649252
"16",51,0.626,-2.49313028847457,-2.47789256174505,-1.86511003797995
"17",26,0.64,-2.46798730669969,-2.47981437747565,-1.67328244774307
"18",11,0.666,-1.96156214490282,-1.9431766317133,-1.41272713294437
"19",66,0.674,-1.65243436009558,-1.66302872156582,-1.23756257644449
"20",69,0.674,-2.22810139110567,-2.2401553647998,-1.69748007508094
"21",78,0.684,-1.64300587367346,-1.62583922687375,-1.28673599565846
"22",61,0.686,-1.44675861036974,-1.4562754821949,-1.23434426665451
"23",94,0.692,-1.54219006817103,-1.55099166213018,-1.18984904417198
"24",108,0.694,-1.47836512576648,-1.45985377990299,-1.24083308736853
"25",24,0.696,-1.23189967312811,-1.23981394515595,-1.07245053401563
"26",96,0.696,-1.33914584358972,-1.32152249221508,-1.08277820997297
"27",80,0.698,-1.40954817427229,-1.41819210811079,-1.17022743604343
"28",39,0.708,-1.26762648444849,-1.27648773794234,-1.17199820360897
"29",105,0.714,-0.878984978807757,-0.887686257201706,-0.987137772957566
