"","subj","word","rt","acc","wordLength","realpseudo","visit_age"
"161",7,"famous",0.94916,1,6,"real",6.83333333333333
"226",7,"able",1.077795,0,4,"real",6.83333333333333
"271",7,"paper",1.16536,1,5,"real",6.83333333333333
"614",44,"famous",2.049245,0,6,"real",6.33333333333333
"745",44,"paper",2.08158,1,5,"real",6.33333333333333
"791",44,"able",1.05081,1,4,"real",6.33333333333333
"132",20,"famous",1.76173,1,6,"real",7.16666666666667
"205",20,"paper",2.153265,1,5,"real",7.16666666666667
"235",20,"able",1.510045,1,4,"real",7.16666666666667
"671",36,"famous",1.07079,0,6,"real",7.5
"720",36,"able",0.96935,1,4,"real",7.5
"777",36,"paper",0.69233,0,5,"real",7.5
"1170",58,"famous",0.24739,0,6,"real",8
"1238",58,"paper",0.001945,1,5,"real",8
"1266",58,"able",1.28116,0,4,"real",8
"1624",71,"famous",0.796975,1,6,"real",8
"1724",71,"able",0.77342,1,4,"real",8
"1765",71,"paper",1.173015,1,5,"real",8
"2128",80,"famous",0.888395,1,6,"real",8
"2218",80,"able",1.31799,1,4,"real",8
"2234",80,"paper",0.919555,1,5,"real",8
"2601",115,"famous",1.103355,1,6,"real",8
"2704",115,"paper",0.607725,1,5,"real",8
"2749",115,"able",0.05778,1,4,"real",8
"3170",58,"famous",0.24739,0,6,"real",8
"3238",58,"paper",0.001945,1,5,"real",8
"3266",58,"able",1.28116,0,4,"real",8
"3624",71,"famous",0.796975,1,6,"real",8
"3724",71,"able",0.77342,1,4,"real",8
"3765",71,"paper",1.173015,1,5,"real",8
"4128",80,"famous",0.888395,1,6,"real",8
"4218",80,"able",1.31799,1,4,"real",8
"4234",80,"paper",0.919555,1,5,"real",8
"4601",115,"famous",1.103355,1,6,"real",8
"4704",115,"paper",0.607725,1,5,"real",8
"4749",115,"able",0.05778,1,4,"real",8
"5119",87,"famous",0.45732,1,6,"real",7.08333333333333
"5272",87,"paper",0.71922,1,5,"real",7.08333333333333
"5275",87,"able",0.8729,0,4,"real",7.08333333333333
"5670",58,"famous",0.24739,0,6,"real",8
"5738",58,"paper",0.001945,1,5,"real",8
"5766",58,"able",1.28116,0,4,"real",8
"6124",71,"famous",0.796975,1,6,"real",8
"6224",71,"able",0.77342,1,4,"real",8
"6265",71,"paper",1.173015,1,5,"real",8
"6628",80,"famous",0.888395,1,6,"real",8
"6718",80,"able",1.31799,1,4,"real",8
"6734",80,"paper",0.919555,1,5,"real",8
"7101",115,"famous",1.103355,1,6,"real",8
"7204",115,"paper",0.607725,1,5,"real",8
"7249",115,"able",0.05778,1,4,"real",8
"198",22,"famous",1.345795,1,6,"real",8.16666666666667
