"","subj","word","rt","acc","wordLength","realpseudo","visit_age"
"463",7,"mistake",1.065765,1,7,"real",6.83333333333333
"481",7,"take",0.80368,1,4,"real",6.83333333333333
"917",44,"mistake",0.668005,1,7,"real",6.33333333333333
"989",44,"take",0.233475,1,4,"real",6.33333333333333
"404",20,"take",0.901945,1,4,"real",7.16666666666667
"457",20,"mistake",1.07836,1,7,"real",7.16666666666667
"944",36,"take",0.926895,1,4,"real",7.5
"948",36,"mistake",1.574935,0,7,"real",7.5
"1466",58,"take",0.461185,1,4,"real",8
"1499",58,"mistake",0.445985,1,7,"real",8
"1912",71,"take",1.33274,1,4,"real",8
"1951",71,"mistake",1.251925,1,7,"real",8
"2457",80,"mistake",0.732765,0,7,"real",8
"2496",80,"take",0.86804,0,4,"real",8
"2917",115,"take",0.08261,0,4,"real",8
"2921",115,"mistake",0.00408,0,7,"real",8
"3466",58,"take",0.461185,1,4,"real",8
"3499",58,"mistake",0.445985,1,7,"real",8
"3912",71,"take",1.33274,1,4,"real",8
"3951",71,"mistake",1.251925,1,7,"real",8
"4457",80,"mistake",0.732765,0,7,"real",8
"4496",80,"take",0.86804,0,4,"real",8
"4917",115,"take",0.08261,0,4,"real",8
"4921",115,"mistake",0.00408,0,7,"real",8
"5449",87,"take",0.598035,1,4,"real",7.08333333333333
"5480",87,"mistake",0.037665,1,7,"real",7.08333333333333
"5966",58,"take",0.461185,1,4,"real",8
"5999",58,"mistake",0.445985,1,7,"real",8
"6412",71,"take",1.33274,1,4,"real",8
"6451",71,"mistake",1.251925,1,7,"real",8
"6957",80,"mistake",0.732765,0,7,"real",8
"6996",80,"take",0.86804,0,4,"real",8
"7417",115,"take",0.08261,0,4,"real",8
"7421",115,"mistake",0.00408,0,7,"real",8
"421",22,"mistake",1.442245,1,7,"real",8.16666666666667
"443",22,"take",1.28168,1,4,"real",8.16666666666667
"973",73,"mistake",0.47796,1,7,"real",8.16666666666667
"997",73,"take",0.82857,1,4,"real",8.16666666666667
"1427",26,"mistake",0.79612,0,7,"real",8.91666666666667
"1438",26,"take",0.729215,1,4,"real",8.91666666666667
"1910",59,"mistake",0.999085,0,7,"real",9
"1921",59,"take",0.815995,1,4,"real",9
"2459",60,"mistake",1.52288,0,7,"real",8.25
"2462",60,"take",4.54631,0,4,"real",8.25
