"","subj","word","rt","acc","wordLength","realpseudo","visit_age"
"21",7,"garden",5.489865,0,6,"real",6.83333333333333
"108",7,"then",0.91426,0,4,"real",6.83333333333333
"178",7,"open",2.91836,1,4,"real",6.83333333333333
"353",7,"even",5.45177,1,4,"real",6.83333333333333
"357",7,"children",0.934375,1,8,"real",6.83333333333333
"524",44,"garden",4.76398,1,6,"real",6.33333333333333
"605",44,"open",10.920895,0,4,"real",6.33333333333333
"617",44,"then",4.418835,0,4,"real",6.33333333333333
"813",44,"even",2.716695,1,4,"real",6.33333333333333
"868",44,"children",1.434865,1,8,"real",6.33333333333333
"34",20,"garden",1.730625,1,6,"real",7.16666666666667
"110",20,"open",1.783725,1,4,"real",7.16666666666667
"192",20,"then",0.879485,1,4,"real",7.16666666666667
"308",20,"even",0.90366,1,4,"real",7.16666666666667
"339",20,"children",1.19435,1,8,"real",7.16666666666667
"593",36,"garden",0.78787,0,6,"real",7.5
"640",36,"then",0.61062,1,4,"real",7.5
"698",36,"open",2.168935,1,4,"real",7.5
"877",36,"children",1.03505,0,8,"real",7.5
"898",36,"even",1.203775,1,4,"real",7.5
"1080",58,"garden",0.566255,1,6,"real",8
"1164",58,"then",0.008505,1,4,"real",8
"1188",58,"open",4.39631,1,4,"real",8
"1374",58,"even",0.27017,1,4,"real",8
"1391",58,"children",0.3767,0,8,"real",8
"1539",71,"garden",0.990325,1,6,"real",8
"1650",71,"open",0.67512,1,4,"real",8
"1656",71,"then",0.77439,1,4,"real",8
"1811",71,"children",2.60597,1,8,"real",8
"1850",71,"even",1.022205,1,4,"real",8
"2036",80,"garden",0.68481,0,6,"real",8
"2155",80,"open",1.267515,1,4,"real",8
"2198",80,"then",0.674715,1,4,"real",8
"2347",80,"even",0.757845,1,4,"real",8
"2370",80,"children",0.907545,1,8,"real",8
"2541",115,"garden",1.48428,1,6,"real",8
"2651",115,"then",0.82969,1,4,"real",8
"2699",115,"open",0.34896,0,4,"real",8
"2845",115,"even",0.060375,0,4,"real",8
"2857",115,"children",0.05861,0,8,"real",8
"3080",58,"garden",0.566255,1,6,"real",8
"3164",58,"then",0.008505,1,4,"real",8
"3188",58,"open",4.39631,1,4,"real",8
"3374",58,"even",0.27017,1,4,"real",8
"3391",58,"children",0.3767,0,8,"real",8
"3539",71,"garden",0.990325,1,6,"real",8
"3650",71,"open",0.67512,1,4,"real",8
"3656",71,"then",0.77439,1,4,"real",8
"3811",71,"children",2.60597,1,8,"real",8
"3850",71,"even",1.022205,1,4,"real",8
"4036",80,"garden",0.68481,0,6,"real",8
"4155",80,"open",1.267515,1,4,"real",8
"4198",80,"then",0.674715,1,4,"real",8
"4347",80,"even",0.757845,1,4,"real",8
"4370",80,"children",0.907545,1,8,"real",8
"4541",115,"garden",1.48428,1,6,"real",8
"4651",115,"then",0.82969,1,4,"real",8
"4699",115,"open",0.34896,0,4,"real",8
"4845",115,"even",0.060375,0,4,"real",8
"4857",115,"children",0.05861,0,8,"real",8
"5019",87,"garden",2.675065,0,6,"real",7.08333333333333
"5120",87,"open",0.373285,1,4,"real",7.08333333333333
"5172",87,"then",2.426895,0,4,"real",7.08333333333333
"5368",87,"children",0.152665,0,8,"real",7.08333333333333
"5369",87,"even",0.38021,1,4,"real",7.08333333333333
"5580",58,"garden",0.566255,1,6,"real",8
"5664",58,"then",0.008505,1,4,"real",8
"5688",58,"open",4.39631,1,4,"real",8
"5874",58,"even",0.27017,1,4,"real",8
"5891",58,"children",0.3767,0,8,"real",8
"6039",71,"garden",0.990325,1,6,"real",8
"6150",71,"open",0.67512,1,4,"real",8
"6156",71,"then",0.77439,1,4,"real",8
"6311",71,"children",2.60597,1,8,"real",8
"6350",71,"even",1.022205,1,4,"real",8
"6536",80,"garden",0.68481,0,6,"real",8
"6655",80,"open",1.267515,1,4,"real",8
"6698",80,"then",0.674715,1,4,"real",8
"6847",80,"even",0.757845,1,4,"real",8
"6870",80,"children",0.907545,1,8,"real",8
"7041",115,"garden",1.48428,1,6,"real",8
"7151",115,"then",0.82969,1,4,"real",8
"7199",115,"open",0.34896,0,4,"real",8
"7345",115,"even",0.060375,0,4,"real",8
"7357",115,"children",0.05861,0,8,"real",8
"70",22,"garden",0.93295,1,6,"real",8.16666666666667
"114",22,"open",1.230895,1,4,"real",8.16666666666667
"158",22,"then",0.799715,1,4,"real",8.16666666666667
"376",22,"children",1.01911,1,8,"real",8.16666666666667
"399",22,"even",0.73536,1,4,"real",8.16666666666667
"559",73,"garden",3.079655,1,6,"real",8.16666666666667
"623",73,"open",1.475365,1,4,"real",8.16666666666667
"657",73,"then",0.52738,0,4,"real",8.16666666666667
"835",73,"even",1.18064,1,4,"real",8.16666666666667
"8681",73,"children",1.161685,1,8,"real",8.16666666666667
"1084",26,"garden",1.702905,0,6,"real",8.91666666666667
"1131",26,"then",0.36457,1,4,"real",8.91666666666667
"1158",26,"open",0.80427,1,4,"real",8.91666666666667
"1322",26,"even",0.979575,1,4,"real",8.91666666666667
"1397",26,"children",0.799065,1,8,"real",8.91666666666667
"1530",59,"garden",1.20542,1,6,"real",9
"1646",59,"then",2.485,1,4,"real",9
"1672",59,"open",1.133065,1,4,"real",9
"1836",59,"even",0.677145,1,4,"real",9
"1846",59,"children",0.61814,1,8,"real",9
"2060",60,"garden",0.80157,0,6,"real",8.25
"2154",60,"then",1.00057,1,4,"real",8.25
"2181",60,"open",3.856295,1,4,"real",8.25
"23471",60,"children",1.491585,1,8,"real",8.25
"2375",60,"even",0.83883,1,4,"real",8.25
"2551",62,"garden",0.88351,0,6,"real",8.25
"2616",62,"then",0.96494,1,4,"real",8.25
"2660",62,"open",0.02703,1,4,"real",8.25
"2818",62,"even",0.25058,1,4,"real",8.25
"2821",62,"children",0.273255,1,8,"real",8.25
"3062",66,"garden",1.574025,1,6,"real",8.25
"3135",66,"then",0.59243,1,4,"real",8.25
"3161",66,"open",1.50975,1,4,"real",8.25
"3321",66,"children",0.80658,1,8,"real",8.25
"3322",66,"even",0.680215,1,4,"real",8.25
"3537",77,"garden",0.61608,0,6,"real",8.25
"3620",77,"open",1.944645,1,4,"real",8.25
"3662",77,"then",0.64878,1,4,"real",8.25
"3878",77,"even",1.339915,1,4,"real",8.25
"3886",77,"children",1.08724,1,8,"real",8.25
"4052",89,"garden",1.684,0,6,"real",8.25
"4162",89,"then",0.566,1,4,"real",8.25
"41981",89,"open",0.721,1,4,"real",8.25
"4310",89,"even",0.751,1,4,"real",8.25
"4383",89,"children",1.43,1,8,"real",8.25
"4523",109,"garden",0.43915,1,6,"real",8.25
"4613",109,"open",0.36513,1,4,"real",8.25
"4637",109,"then",0.39939,1,4,"real",8.25
"4819",109,"children",0.29975,0,8,"real",8.25
"4888",109,"even",1.068205,1,4,"real",8.25
"5062",69,"garden",1.533445,1,6,"real",8.66666666666667
"5137",69,"then",1.319165,1,4,"real",8.66666666666667
"5154",69,"open",0.72305,1,4,"real",8.66666666666667
"5312",69,"even",4.86456,1,4,"real",8.66666666666667
"5391",69,"children",0.83554,0,8,"real",8.66666666666667
"5565",95,"garden",0.68563,1,6,"real",8.66666666666667
"5639",95,"then",1.36953,1,4,"real",8.66666666666667
"5699",95,"open",0.78367,0,4,"real",8.66666666666667
"5819",95,"children",0.38687,0,8,"real",8.66666666666667
"5884",95,"even",0.513015,1,4,"real",8.66666666666667
"6048",103,"garden",0.65892,1,6,"real",8.66666666666667
"6112",103,"then",0.539535,1,4,"real",8.66666666666667
"6151",103,"open",0.639575,1,4,"real",8.66666666666667
"6343",103,"children",0.449385,0,8,"real",8.66666666666667
"6373",103,"even",0.71911,1,4,"real",8.66666666666667
"6570",22,"garden",0.93295,1,6,"real",8.16666666666667
"6614",22,"open",1.230895,1,4,"real",8.16666666666667
"6658",22,"then",0.799715,1,4,"real",8.16666666666667
"6876",22,"children",1.01911,1,8,"real",8.16666666666667
"6899",22,"even",0.73536,1,4,"real",8.16666666666667
"7059",73,"garden",3.079655,1,6,"real",8.16666666666667
"7123",73,"open",1.475365,1,4,"real",8.16666666666667
"7157",73,"then",0.52738,0,4,"real",8.16666666666667
