"Result","row.name","a"
"result.1","ɑ+a","0.125"
"result.1","æ+a","0.500"
"result.1","ɔ+a","0.125"
"result.1","ə+a","0.125"
"result.1","eɪ+a","0.125"
"","",""
"Result","row.name","ai"
"result.2","ɛ+ai","1"
"","",""
"Result","row.name","b"
"result.3","b+b","1"
"","",""
"Result","row.name","c"
"result.4","k+c","1"
"","",""
"Result","row.name","ch"
"result.5","tʃ+ch","1"
"","",""
"Result","row.name","d"
"result.6","d+d","1"
"","",""
"Result","row.name","e"
"result.7","ɛ+e","1"
"","",""
"Result","row.name","ea"
"result.8","i+ea","0.6666667"
"result.8","ɪ+ea","0.3333333"
"","",""
"Result","row.name","eye"
"result.9","aɪ+eye","1"
"","",""
"Result","row.name","f"
"result.10","f+f","1"
"","",""
"Result","row.name","g"
"result.11","g+g","1"
"","",""
"Result","row.name","h"
"result.12","h+h","1"
"","",""
"Result","row.name","i"
"result.13","aɪ+i","0.3333333"
"result.13","ɪ+i","0.6666667"
"","",""
"Result","row.name","i_e"
"result.14","aɪ+i_e","1"
"","",""
"Result","row.name","j"
"result.15","dʒ+j","1"
"","",""
"Result","row.name","k"
"result.16","k+k","1"
"","",""
"Result","row.name","kn"
"result.17","n+kn","1"
"","",""
"Result","row.name","l"
"result.18","l+l","1"
"","",""
"Result","row.name","m"
"result.19","m+m","1"
"","",""
"Result","row.name","n"
"result.20","n+n","1"
"","",""
"Result","row.name","o"
"result.21","ɑ+o","0.5"
"result.21","ɔ+o","0.5"
"","",""
"Result","row.name","ou"
"result.22","aʊ+ou","1"
"","",""
"Result","row.name","p"
"result.23","p+p","1"
"","",""
"Result","row.name","r"
"result.24","r+r","1"
"","",""
"Result","row.name","s"
"result.25","s+s","1"
"","",""
"Result","row.name","sc"
"result.26","s+sc","1"
"","",""
"Result","row.name","sh"
"result.27","ʃ+sh","1"
"","",""
"Result","row.name","t"
"result.28","t+t","1"
"","",""
"Result","row.name","th"
"result.29","ð+th","1"
"","",""
"Result","row.name","u"
"result.30","ʌ+u","1"
"","",""
"Result","row.name","w"
"result.31","w+w","1"
"","",""
"Result","row.name","wh"
"result.32","w+wh","1"
"","",""
"Result","row.name","y"
"result.33","j+y","1"
"","",""
"Result","row.name","z"
"result.34","z+z","1"
"","",""
